id,day,airline,destination,dest_region,dest_size,boarding_area,dept_time,wait_min,cleanliness,safety,satisfaction
2275,Saturday,AMERICAN,DEST_1275,Australia/New Zealand,Large     ,Gates 40-48,2018-12-31,62.5,Unacceptable,Very safe,Somewhat satisfied
2276,Wednesday,UNITED INTL,DEST_1276,middle east,Medium,Gates 40-48,2018-12-31,215.9,Average,Very unsafe,Very unsatisfied
2277,Friday,UNITED INTL,DEST_1277,middle east,    Small,Gates 1-12,2018-12-31,442.5,Somewhat clean,Very unsafe,Somewhat satisfied
2278,Sunday,DELTA,DEST_1278,EAST US,Medium     ,Gates 40-48,2018-12-31,498.6,Somewhat dirty,Very safe,Very satisfied
2279,Monday,JETBLUE,DEST_1279,Central/South America,Small,Gates 20-39,2018-12-31,122.0,Dirty,Somewhat unsafe,Very unsatisfied
2280,Monday,UNITED INTL,DEST_1280,eur,Hub     ,Gates 91-102,2018-12-31,149.4,Unacceptable,Very unsafe,Somewhat unsatisfied
2281,Friday,JETBLUE,DEST_1281,Canada/Mexico,Small     ,Gates 70-90,2018-12-31,340.2,Clean,Neutral,Somewhat unsatisfied
2282,Saturday,ALASKA,DEST_1282,Australia/New Zealand,    Medium,Gates 70-90,2018-12-31,557.7,Clean,Very unsafe,Somewhat unsatisfied
2283,Wednesday,UNITED,DEST_1283,EAST US,Large     ,Gates 1-12,2018-12-31,586.7,Somewhat dirty,Very unsafe,Very satisfied
2284,Thursday,UNITED,DEST_1284,Europe,Hub     ,Gates 20-39,2018-12-31,132.4,Somewhat dirty,Somewhat unsafe,Somewhat satisfied
2285,Thursday,SOUTHWEST,DEST_1285,Canada/Mexico,    Small,Gates 20-39,2018-12-31,117.2,Dirty,Neutral,Very satisfied
2286,Thursday,JETBLUE,DEST_1286,Europe,    Small,Gates 1-12,2018-12-31,50.1,Somewhat clean,Somewhat unsafe,Somewhat unsatisfied
2287,Saturday,UNITED,DEST_1287,Canada/Mexico,Medium,Gates 20-39,2018-12-31,420.4,Average,Somewhat safe,Very unsatisfied
2288,Friday,JETBLUE,DEST_1288,Midwest US,Medium,Gates 50-59,2018-12-31,126.8,Somewhat clean,Very unsafe,Neutral
2289,Saturday,DELTA,DEST_1289,Canada/Mexico,Large,Gates 70-90,2018-12-31,225.4,Clean,Somewhat safe,Neutral
2290,Sunday,UNITED,DEST_1290,Europe,Hub,Gates 1-12,2018-12-31,418.4,Unacceptable,Neutral,Very unsatisfied
2291,Saturday,JETBLUE,DEST_1291,Asia,    Small,Gates 91-102,2018-12-31,395.5,Clean,Very safe,Very unsatisfied
2292,Tuesday,UNITED,DEST_1292,Middle East,Medium     ,Gates 70-90,2018-12-31,322.8,Somewhat clean,Very unsafe,Somewhat unsatisfied
2293,Tuesday,DELTA,DEST_1293,Midwest US,    Medium,Gates 50-59,2018-12-31,574.3,Dirty,Neutral,Very unsatisfied
2294,Wednesday,SOUTHWEST,DEST_1294,Midwest US,    Medium,Gates 40-48,2018-12-31,196.5,Dirty,Somewhat unsafe,Very unsatisfied
2295,Wednesday,UNITED INTL,DEST_1295,EAST US,Large     ,Gates 70-90,2018-12-31,328.5,Dirty,Somewhat safe,Very unsatisfied
2296,Tuesday,AMERICAN,DEST_1296,Midwest US,Small     ,Gates 91-102,2018-12-31,498.4,Somewhat dirty,Very unsafe,Somewhat unsatisfied
2297,Wednesday,UNITED INTL,DEST_1297,Central/South America,    Medium,Gates 20-39,2018-12-31,475.4,Average,Somewhat unsafe,Very unsatisfied
2298,Wednesday,ALASKA,DEST_1298,Canada/Mexico,Large     ,Gates 1-12,2018-12-31,148.0,Clean,Somewhat unsafe,Neutral
2299,Saturday,UNITED INTL,DEST_1299,Central/South America,    Medium,Gates 1-12,2018-12-31,173.5,Somewhat clean,Very safe,Very satisfied
2300,Saturday,UNITED,DEST_1300,EAST US,    Large,Gates 50-59,2018-12-31,420.6,Somewhat clean,Somewhat unsafe,Somewhat satisfied
2301,Wednesday,UNITED INTL,DEST_1301,Australia/New Zealand,Medium,Gates 70-90,2018-12-31,536.4,Dirty,Very unsafe,Somewhat unsatisfied
2302,Monday,UNITED INTL,DEST_1302,Midwest US,    Large,Gates 50-59,2018-12-31,444.4,Unacceptable,Somewhat unsafe,Neutral
2303,Saturday,ALASKA,DEST_1303,Europe,    Hub,Gates 20-39,2018-12-31,334.6,Clean,Somewhat safe,Somewhat unsatisfied
2304,Tuesday,UNITED INTL,DEST_1304,Asia,Large,Gates 50-59,2018-12-31,59.0,Clean,Somewhat unsafe,Neutral
2305,Sunday,AMERICAN,DEST_1305,Europe,    Hub,Gates 40-48,2018-12-31,357.8,Unacceptable,Neutral,Very satisfied
2306,Friday,DELTA,DEST_1306,EAST US,    Small,Gates 91-102,2018-12-31,333.7,Somewhat clean,Somewhat unsafe,Somewhat satisfied
2307,Friday,CHINA EASTERN,DEST_1307,Europe,Hub     ,Gates 70-90,2018-12-31,377.1,Somewhat clean,Neutral,Very satisfied
2308,Saturday,SOUTHWEST,DEST_1308,Central/South America,Medium,Gates 70-90,2018-12-31,327.6,Somewhat clean,Very unsafe,Somewhat satisfied
2309,Wednesday,CHINA EASTERN,DEST_1309,Central/South America,    Hub,Gates 70-90,2018-12-31,272.1,Clean,Somewhat unsafe,Very unsatisfied
2310,Saturday,JETBLUE,DEST_1310,EAST US,Large     ,Gates 1-12,2018-12-31,472.1,Somewhat dirty,Neutral,Neutral
2311,Monday,SOUTHWEST,DEST_1311,Canada/Mexico,Small     ,Gates 70-90,2018-12-31,498.8,Dirty,Very safe,Somewhat satisfied
2312,Saturday,SOUTHWEST,DEST_1312,Canada/Mexico,    Hub,Gates 91-102,2018-12-31,575.9,Average,Somewhat unsafe,Very unsatisfied
2313,Monday,UNITED INTL,DEST_1313,West US,Small     ,Gates 20-39,2018-12-31,205.1,Average,Very safe,Somewhat unsatisfied
2314,Friday,UNITED,DEST_1314,Asia,Large,Gates 1-12,2018-12-31,53.5,Somewhat dirty,Somewhat unsafe,Very satisfied
2315,Saturday,DELTA,DEST_1315,EAST US,    Large,Gates 91-102,2018-12-31,227.4,Dirty,Neutral,Very satisfied
2316,Monday,ALASKA,DEST_1316,Asia,    Large,Gates 1-12,2018-12-31,76.0,Somewhat dirty,Neutral,Very satisfied
2317,Monday,CHINA EASTERN,DEST_1317,Asia,    Medium,Gates 91-102,2018-12-31,215.3,Dirty,Very unsafe,Very unsatisfied
2318,Sunday,ALASKA,DEST_1318,Australia/New Zealand,Large     ,Gates 91-102,2018-12-31,73.3,Clean,Very safe,Very satisfied
2319,Saturday,DELTA,DEST_1319,eur,    Hub,Gates 70-90,2018-12-31,479.6,Dirty,Very unsafe,Neutral
2320,Monday,ALASKA,DEST_1320,Australia/New Zealand,Hub     ,Gates 70-90,2018-12-31,151.4,Dirty,Neutral,Somewhat unsatisfied
2321,Sunday,AMERICAN,DEST_1321,middle east,Hub     ,Gates 40-48,2018-12-31,406.9,Average,Somewhat safe,Very satisfied
2322,Monday,UNITED,DEST_1322,Europe,Medium,Gates 91-102,2018-12-31,44.6,Dirty,Neutral,Neutral
2323,Friday,UNITED INTL,DEST_1323,eur,    Hub,Gates 40-48,2018-12-31,443.4,Dirty,Neutral,Neutral
2324,Wednesday,ALASKA,DEST_1324,Europe,    Medium,Gates 40-48,2018-12-31,228.4,Unacceptable,Somewhat unsafe,Very satisfied
2325,Sunday,CHINA EASTERN,DEST_1325,Midwest US,Large,Gates 50-59,2018-12-31,321.4,Unacceptable,Very safe,Very unsatisfied
2326,Thursday,CHINA EASTERN,DEST_1326,Asia,    Large,Gates 40-48,2018-12-31,103.9,Somewhat dirty,Neutral,Very satisfied
2327,Monday,AMERICAN,DEST_1327,middle east,Small,Gates 50-59,2018-12-31,455.4,Average,Somewhat unsafe,Very satisfied
2328,Tuesday,SOUTHWEST,DEST_1328,eur,Medium,Gates 91-102,2018-12-31,516.5,Unacceptable,Very safe,Neutral
2329,Saturday,SOUTHWEST,DEST_1329,Australia/New Zealand,Medium,Gates 20-39,2018-12-31,175.8,Unacceptable,Neutral,Very satisfied
2330,Tuesday,JETBLUE,DEST_1330,Australia/New Zealand,Medium     ,Gates 70-90,2018-12-31,457.1,Clean,Very unsafe,Very unsatisfied
2331,Monday,UNITED,DEST_1331,Central/South America,Medium,Gates 70-90,2018-12-31,184.8,Dirty,Somewhat unsafe,Somewhat unsatisfied
2332,Wednesday,JETBLUE,DEST_1332,East US,    Small,Gates 40-48,2018-12-31,38.2,Clean,Very safe,Neutral
2333,Monday,CHINA EASTERN,DEST_1333,Australia/New Zealand,    Medium,Gates 50-59,2018-12-31,147.6,Somewhat clean,Somewhat safe,Somewhat satisfied
2334,Sunday,UNITED,DEST_1334,East US,    Medium,Gates 70-90,2018-12-31,156.2,Average,Very unsafe,Neutral
2335,Tuesday,UNITED,DEST_1335,Midwest US,    Small,Gates 91-102,2018-12-31,569.1,Unacceptable,Somewhat safe,Somewhat satisfied
2336,Sunday,UNITED,DEST_1336,Middle East,Medium     ,Gates 40-48,2018-12-31,430.3,Dirty,Very safe,Very unsatisfied
2337,Wednesday,AMERICAN,DEST_1337,West US,    Small,Gates 20-39,2018-12-31,136.6,Unacceptable,Very safe,Neutral
2338,Thursday,UNITED,DEST_1338,Midwest US,Medium,Gates 50-59,2018-12-31,198.7,Unacceptable,Very safe,Somewhat satisfied
2339,Thursday,CHINA EASTERN,DEST_1339,EAST US,Large     ,Gates 91-102,2018-12-31,505.7,Somewhat clean,Very unsafe,Very satisfied
2340,Thursday,AMERICAN,DEST_1340,East US,Large,Gates 20-39,2018-12-31,224.7,Somewhat dirty,Very unsafe,Very satisfied
2341,Monday,SOUTHWEST,DEST_1341,middle east,Small,Gates 91-102,2018-12-31,598.4,Clean,Neutral,Neutral
2342,Monday,UNITED,DEST_1342,Asia,    Medium,Gates 40-48,2018-12-31,322.8,Dirty,Neutral,Neutral
2343,Friday,JETBLUE,DEST_1343,EAST US,Large     ,Gates 70-90,2018-12-31,261.6,Somewhat clean,Very unsafe,Somewhat satisfied
2344,Wednesday,DELTA,DEST_1344,Midwest US,Hub     ,Gates 91-102,2018-12-31,256.9,Dirty,Very unsafe,Somewhat unsatisfied
2345,Thursday,CHINA EASTERN,DEST_1345,eur,Medium,Gates 91-102,2018-12-31,71.8,Unacceptable,Somewhat unsafe,Somewhat satisfied
2346,Monday,JETBLUE,DEST_1346,EAST US,Hub,Gates 50-59,2018-12-31,376.9,Dirty,Somewhat unsafe,Very satisfied
2347,Sunday,ALASKA,DEST_1347,Europe,Hub     ,Gates 20-39,2018-12-31,84.1,Somewhat clean,Somewhat safe,Neutral
2348,Tuesday,UNITED INTL,DEST_1348,eur,Large,Gates 40-48,2018-12-31,253.2,Somewhat clean,Very safe,Somewhat unsatisfied
2349,Sunday,CHINA EASTERN,DEST_1349,Australia/New Zealand,Medium,Gates 1-12,2018-12-31,347.9,Somewhat dirty,Very safe,Somewhat unsatisfied
2350,Sunday,AMERICAN,DEST_1350,Asia,Medium     ,Gates 40-48,2018-12-31,465.0,Somewhat dirty,Neutral,Somewhat unsatisfied
2351,Friday,DELTA,DEST_1351,Europe,Hub     ,Gates 20-39,2018-12-31,115.0,Somewhat dirty,Somewhat unsafe,Very unsatisfied
2352,Monday,ALASKA,DEST_1352,Australia/New Zealand,    Medium,Gates 40-48,2018-12-31,64.9,Unacceptable,Very unsafe,Neutral
2353,Sunday,ALASKA,DEST_1353,EAST US,Medium     ,Gates 70-90,2018-12-31,568.7,Somewhat dirty,Very unsafe,Somewhat unsatisfied
2354,Friday,AMERICAN,DEST_1354,middle east,Medium     ,Gates 50-59,2018-12-31,35.1,Somewhat clean,Very unsafe,Very unsatisfied
2355,Monday,JETBLUE,DEST_1355,Europe,Medium,Gates 1-12,2018-12-31,556.7,Somewhat dirty,Neutral,Neutral
2356,Friday,ALASKA,DEST_1356,Asia,Large,Gates 50-59,2018-12-31,192.9,Somewhat clean,Very unsafe,Somewhat unsatisfied
2357,Saturday,SOUTHWEST,DEST_1357,Canada/Mexico,    Large,Gates 91-102,2018-12-31,397.9,Clean,Neutral,Somewhat unsatisfied
2358,Sunday,JETBLUE,DEST_1358,middle east,Hub,Gates 1-12,2018-12-31,556.1,Unacceptable,Somewhat unsafe,Somewhat satisfied
2359,Monday,UNITED INTL,DEST_1359,Australia/New Zealand,    Small,Gates 40-48,2018-12-31,455.1,Average,Somewhat unsafe,Somewhat unsatisfied
2360,Monday,ALASKA,DEST_1360,Canada/Mexico,Large,Gates 1-12,2018-12-31,440.9,Dirty,Somewhat safe,Very unsatisfied
2361,Wednesday,AMERICAN,DEST_1361,Asia,    Large,Gates 50-59,2018-12-31,54.1,Average,Very safe,Somewhat unsatisfied
2362,Tuesday,AMERICAN,DEST_1362,Central/South America,    Hub,Gates 91-102,2018-12-31,110.0,Clean,Very safe,Very satisfied
2363,Monday,UNITED,DEST_1363,middle east,Small     ,Gates 70-90,2018-12-31,36.4,Clean,Very unsafe,Somewhat unsatisfied
2364,Friday,ALASKA,DEST_1364,West US,Small,Gates 40-48,2018-12-31,37.6,Average,Neutral,Somewhat satisfied
2365,Sunday,SOUTHWEST,DEST_1365,East US,Hub     ,Gates 20-39,2018-12-31,44.4,Average,Very safe,Very satisfied
2366,Sunday,DELTA,DEST_1366,Europe,Small,Gates 20-39,2018-12-31,492.0,Dirty,Neutral,Somewhat satisfied
2367,Tuesday,JETBLUE,DEST_1367,Australia/New Zealand,Small,Gates 20-39,2018-12-31,136.6,Clean,Very safe,Neutral
2368,Monday,SOUTHWEST,DEST_1368,West US,Large,Gates 20-39,2018-12-31,174.9,Average,Neutral,Very satisfied
2369,Saturday,CHINA EASTERN,DEST_1369,Canada/Mexico,    Large,Gates 1-12,2018-12-31,487.4,Clean,Very safe,Neutral
2370,Thursday,ALASKA,DEST_1370,Asia,    Large,Gates 40-48,2018-12-31,594.6,Unacceptable,Very unsafe,Neutral
2371,Monday,JETBLUE,DEST_1371,Midwest US,    Small,Gates 91-102,2018-12-31,214.0,Somewhat dirty,Somewhat unsafe,Somewhat unsatisfied
2372,Wednesday,DELTA,DEST_1372,East US,Medium,Gates 40-48,2018-12-31,67.7,Unacceptable,Somewhat safe,Very unsatisfied
2373,Thursday,ALASKA,DEST_1373,Central/South America,    Medium,Gates 50-59,2018-12-31,566.8,Clean,Neutral,Neutral
2374,Wednesday,DELTA,DEST_1374,Asia,    Medium,Gates 70-90,2018-12-31,226.5,Dirty,Somewhat safe,Neutral
2375,Tuesday,SOUTHWEST,DEST_1375,eur,    Medium,Gates 20-39,2018-12-31,573.1,Average,Somewhat unsafe,Somewhat unsatisfied
2376,Tuesday,UNITED,DEST_1376,Asia,Hub,Gates 91-102,2018-12-31,49.4,Somewhat dirty,Somewhat safe,Somewhat unsatisfied
2377,Saturday,AMERICAN,DEST_1377,middle east,Small     ,Gates 70-90,2018-12-31,181.6,Dirty,Very safe,Neutral
2378,Tuesday,DELTA,DEST_1378,Middle East,Hub     ,Gates 70-90,2018-12-31,318.5,Somewhat clean,Very safe,Somewhat satisfied
2379,Saturday,UNITED INTL,DEST_1379,Canada/Mexico,Large     ,Gates 20-39,2018-12-31,535.7,Clean,Somewhat unsafe,Very satisfied
2380,Sunday,UNITED INTL,DEST_1380,East US,Small     ,Gates 40-48,2018-12-31,573.9,Dirty,Very safe,Very unsatisfied
2381,Monday,SOUTHWEST,DEST_1381,Middle East,Medium,Gates 1-12,2018-12-31,56.7,Dirty,Somewhat safe,Very unsatisfied
2382,Thursday,AMERICAN,DEST_1382,West US,    Medium,Gates 20-39,2018-12-31,532.7,Unacceptable,Very unsafe,Very satisfied
2383,Tuesday,ALASKA,DEST_1383,Asia,Hub,Gates 20-39,2018-12-31,377.2,Somewhat dirty,Neutral,Very unsatisfied
2384,Tuesday,CHINA EASTERN,DEST_1384,EAST US,Small     ,Gates 40-48,2018-12-31,481.2,Average,Very safe,Very satisfied
2385,Monday,ALASKA,DEST_1385,middle east,Small     ,Gates 40-48,2018-12-31,409.0,Somewhat dirty,Somewhat safe,Very satisfied
2386,Wednesday,AMERICAN,DEST_1386,middle east,Large     ,Gates 50-59,2018-12-31,157.1,Somewhat dirty,Very unsafe,Somewhat unsatisfied
2387,Thursday,ALASKA,DEST_1387,Central/South America,Hub     ,Gates 70-90,2018-12-31,176.2,Average,Very safe,Somewhat unsatisfied
2388,Friday,UNITED INTL,DEST_1388,West US,Large     ,Gates 40-48,2018-12-31,111.1,Somewhat dirty,Somewhat safe,Somewhat satisfied
2389,Tuesday,JETBLUE,DEST_1389,West US,Medium     ,Gates 40-48,2018-12-31,241.7,Dirty,Somewhat safe,Very satisfied
2390,Tuesday,JETBLUE,DEST_1390,middle east,    Small,Gates 70-90,2018-12-31,358.7,Clean,Somewhat unsafe,Somewhat unsatisfied
2391,Monday,AMERICAN,DEST_1391,Canada/Mexico,    Medium,Gates 1-12,2018-12-31,437.7,Somewhat clean,Somewhat safe,Somewhat satisfied
2392,Thursday,UNITED,DEST_1392,Australia/New Zealand,    Small,Gates 1-12,2018-12-31,95.1,Dirty,Very unsafe,Neutral
2393,Thursday,AMERICAN,DEST_1393,eur,Medium     ,Gates 50-59,2018-12-31,82.7,Dirty,Neutral,Somewhat unsatisfied
2394,Tuesday,UNITED INTL,DEST_1394,Canada/Mexico,    Medium,Gates 70-90,2018-12-31,589.3,Unacceptable,Very safe,Neutral
2395,Saturday,ALASKA,DEST_1395,East US,Medium,Gates 70-90,2018-12-31,475.7,Clean,Very unsafe,Somewhat satisfied
2396,Monday,UNITED,DEST_1396,Central/South America,    Large,Gates 1-12,2018-12-31,142.7,Dirty,Neutral,Neutral
2397,Thursday,UNITED,DEST_1397,Europe,Small     ,Gates 91-102,2018-12-31,570.3,Somewhat clean,Neutral,Somewhat satisfied
2398,Friday,UNITED,DEST_1398,Europe,    Hub,Gates 91-102,2018-12-31,523.2,Somewhat clean,Somewhat safe,Somewhat unsatisfied
2399,Friday,UNITED,DEST_1399,Midwest US,Hub     ,Gates 91-102,2018-12-31,188.6,Average,Neutral,Very satisfied
2400,Thursday,SOUTHWEST,DEST_1400,middle east,    Medium,Gates 1-12,2018-12-31,82.6,Clean,Very unsafe,Very unsatisfied
2401,Wednesday,UNITED INTL,DEST_1401,Midwest US,Small,Gates 1-12,2018-12-31,272.9,Clean,Neutral,Somewhat satisfied
2402,Tuesday,UNITED,DEST_1402,East US,Small     ,Gates 91-102,2018-12-31,189.1,Dirty,Somewhat safe,Somewhat satisfied
2403,Thursday,JETBLUE,DEST_1403,West US,Medium     ,Gates 20-39,2018-12-31,51.7,Dirty,Very safe,Neutral
2404,Monday,AMERICAN,DEST_1404,Middle East,Large,Gates 40-48,2018-12-31,193.2,Average,Neutral,Very satisfied
2405,Thursday,ALASKA,DEST_1405,Middle East,    Medium,Gates 1-12,2018-12-31,578.2,Average,Neutral,Very satisfied
2406,Thursday,AMERICAN,DEST_1406,Australia/New Zealand,Medium     ,Gates 40-48,2018-12-31,176.9,Dirty,Very unsafe,Neutral
2407,Tuesday,UNITED INTL,DEST_1407,middle east,Small     ,Gates 70-90,2018-12-31,202.1,Somewhat dirty,Very safe,Neutral
2408,Monday,AMERICAN,DEST_1408,Middle East,Medium,Gates 40-48,2018-12-31,245.2,Average,Neutral,Neutral
2409,Friday,CHINA EASTERN,DEST_1409,Asia,Small,Gates 91-102,2018-12-31,105.3,Dirty,Very unsafe,Very unsatisfied
2410,Wednesday,DELTA,DEST_1410,East US,Hub     ,Gates 70-90,2018-12-31,303.8,Unacceptable,Very safe,Very satisfied
2411,Sunday,UNITED INTL,DEST_1411,Europe,    Large,Gates 70-90,2018-12-31,351.2,Clean,Neutral,Neutral
2412,Monday,DELTA,DEST_1412,Australia/New Zealand,    Hub,Gates 50-59,2018-12-31,181.8,Unacceptable,Very safe,Very satisfied
2413,Tuesday,UNITED INTL,DEST_1413,Australia/New Zealand,Small,Gates 91-102,2018-12-31,558.4,Somewhat dirty,Very safe,Very unsatisfied
2414,Saturday,ALASKA,DEST_1414,Europe,Medium,Gates 20-39,2018-12-31,565.8,Unacceptable,Very safe,Very satisfied
2415,Tuesday,UNITED,DEST_1415,EAST US,Medium,Gates 50-59,2018-12-31,568.1,Dirty,Very safe,Very unsatisfied
2416,Sunday,ALASKA,DEST_1416,Australia/New Zealand,    Hub,Gates 91-102,2018-12-31,96.7,Average,Neutral,Somewhat unsatisfied
2417,Sunday,CHINA EASTERN,DEST_1417,Canada/Mexico,    Medium,Gates 1-12,2018-12-31,64.4,Clean,Neutral,Very satisfied
2418,Thursday,JETBLUE,DEST_1418,Europe,    Large,Gates 50-59,2018-12-31,494.5,Average,Very unsafe,Somewhat satisfied
2419,Thursday,DELTA,DEST_1419,Middle East,Large,Gates 70-90,2018-12-31,220.0,Dirty,Somewhat safe,Neutral
2420,Wednesday,CHINA EASTERN,DEST_1420,Canada/Mexico,Large,Gates 91-102,2018-12-31,207.7,Somewhat clean,Somewhat safe,Neutral
2421,Monday,DELTA,DEST_1421,eur,Hub     ,Gates 40-48,2018-12-31,231.6,Somewhat dirty,Somewhat unsafe,Somewhat satisfied
2422,Thursday,UNITED,DEST_1422,West US,Medium,Gates 70-90,2018-12-31,265.6,Clean,Very safe,Very unsatisfied
2423,Sunday,JETBLUE,DEST_1423,middle east,    Large,Gates 70-90,2018-12-31,408.5,Somewhat clean,Somewhat safe,Very unsatisfied
2424,Tuesday,SOUTHWEST,DEST_1424,Central/South America,Small     ,Gates 20-39,2018-12-31,593.2,Dirty,Somewhat safe,Very satisfied
2425,Saturday,UNITED,DEST_1425,EAST US,    Small,Gates 40-48,2018-12-31,474.1,Somewhat clean,Very safe,Somewhat satisfied
2426,Sunday,AMERICAN,DEST_1426,Asia,Small,Gates 70-90,2018-12-31,587.5,Dirty,Neutral,Somewhat unsatisfied
2427,Sunday,SOUTHWEST,DEST_1427,Midwest US,Medium,Gates 50-59,2018-12-31,36.0,Dirty,Neutral,Somewhat satisfied
2428,Friday,DELTA,DEST_1428,Asia,    Hub,Gates 40-48,2018-12-31,464.0,Unacceptable,Very safe,Very satisfied
2429,Wednesday,AMERICAN,DEST_1429,Canada/Mexico,    Small,Gates 91-102,2018-12-31,457.6,Unacceptable,Very unsafe,Neutral
2430,Friday,UNITED,DEST_1430,Europe,Hub     ,Gates 1-12,2018-12-31,58.7,Clean,Somewhat safe,Very unsatisfied
2431,Friday,JETBLUE,DEST_1431,Midwest US,Medium,Gates 1-12,2018-12-31,586.0,Clean,Somewhat safe,Somewhat unsatisfied
2432,Thursday,DELTA,DEST_1432,EAST US,Large,Gates 91-102,2018-12-31,484.0,Unacceptable,Neutral,Somewhat unsatisfied
2433,Thursday,UNITED INTL,DEST_1433,Europe,    Large,Gates 91-102,2018-12-31,485.4,Dirty,Somewhat unsafe,Very satisfied
2434,Tuesday,ALASKA,DEST_1434,Canada/Mexico,    Small,Gates 70-90,2018-12-31,171.5,Unacceptable,Neutral,Neutral
2435,Saturday,UNITED INTL,DEST_1435,middle east,Medium,Gates 91-102,2018-12-31,244.2,Average,Somewhat safe,Very unsatisfied
2436,Monday,DELTA,DEST_1436,Europe,    Large,Gates 40-48,2018-12-31,587.5,Average,Very safe,Neutral
2437,Thursday,DELTA,DEST_1437,West US,Hub     ,Gates 70-90,2018-12-31,304.0,Clean,Very safe,Somewhat unsatisfied
2438,Wednesday,JETBLUE,DEST_1438,West US,Small     ,Gates 40-48,2018-12-31,507.1,Average,Somewhat safe,Very unsatisfied
2439,Tuesday,AMERICAN,DEST_1439,Middle East,    Small,Gates 1-12,2018-12-31,457.8,Somewhat dirty,Somewhat safe,Neutral
2440,Friday,ALASKA,DEST_1440,Middle East,    Small,Gates 70-90,2018-12-31,424.1,Somewhat dirty,Very safe,Neutral
2441,Saturday,ALASKA,DEST_1441,East US,Large     ,Gates 91-102,2018-12-31,554.5,Somewhat clean,Somewhat unsafe,Very satisfied
2442,Sunday,JETBLUE,DEST_1442,eur,Large     ,Gates 40-48,2018-12-31,107.1,Clean,Very safe,Very unsatisfied
2443,Friday,UNITED,DEST_1443,middle east,Large,Gates 40-48,2018-12-31,34.6,Somewhat clean,Neutral,Very satisfied
2444,Tuesday,UNITED INTL,DEST_1444,middle east,Large     ,Gates 91-102,2018-12-31,90.7,Somewhat dirty,Neutral,Neutral
2445,Wednesday,SOUTHWEST,DEST_1445,Middle East,Medium,Gates 91-102,2018-12-31,187.6,Dirty,Somewhat safe,Somewhat satisfied
2446,Saturday,ALASKA,DEST_1446,Australia/New Zealand,Large,Gates 50-59,2018-12-31,433.2,Unacceptable,Neutral,Neutral
2447,Friday,JETBLUE,DEST_1447,West US,Medium,Gates 91-102,2018-12-31,344.5,Clean,Somewhat unsafe,Somewhat satisfied
2448,Friday,ALASKA,DEST_1448,East US,Medium,Gates 50-59,2018-12-31,35.8,Average,Somewhat safe,Somewhat unsatisfied
2449,Friday,UNITED INTL,DEST_1449,Central/South America,Large     ,Gates 70-90,2018-12-31,186.0,Average,Somewhat unsafe,Very satisfied
2450,Monday,SOUTHWEST,DEST_1450,eur,Hub     ,Gates 20-39,2018-12-31,419.1,Average,Very unsafe,Very satisfied
2451,Friday,JETBLUE,DEST_1451,Midwest US,    Large,Gates 40-48,2018-12-31,147.6,Somewhat dirty,Very safe,Somewhat satisfied
2452,Thursday,UNITED,DEST_1452,Middle East,Medium,Gates 70-90,2018-12-31,198.0,Somewhat clean,Somewhat safe,Very unsatisfied
2453,Tuesday,AMERICAN,DEST_1453,West US,Large     ,Gates 70-90,2018-12-31,195.1,Somewhat dirty,Very safe,Somewhat satisfied
2454,Saturday,JETBLUE,DEST_1454,middle east,Medium     ,Gates 91-102,2018-12-31,158.9,Unacceptable,Somewhat unsafe,Very satisfied
2455,Thursday,DELTA,DEST_1455,middle east,Hub     ,Gates 70-90,2018-12-31,326.9,Average,Somewhat safe,Very unsatisfied
2456,Thursday,DELTA,DEST_1456,East US,Medium     ,Gates 50-59,2018-12-31,239.5,Average,Very unsafe,Very unsatisfied
2457,Sunday,AMERICAN,DEST_1457,Canada/Mexico,Hub     ,Gates 40-48,2018-12-31,110.4,Unacceptable,Somewhat safe,Somewhat unsatisfied
2458,Thursday,JETBLUE,DEST_1458,EAST US,    Small,Gates 70-90,2018-12-31,171.6,Somewhat clean,Somewhat unsafe,Very unsatisfied
2459,Thursday,UNITED INTL,DEST_1459,middle east,Hub,Gates 50-59,2018-12-31,88.0,Somewhat dirty,Neutral,Neutral
2460,Wednesday,UNITED INTL,DEST_1460,Asia,Small     ,Gates 91-102,2018-12-31,324.2,Dirty,Somewhat safe,Neutral
2461,Monday,CHINA EASTERN,DEST_1461,East US,Small     ,Gates 50-59,2018-12-31,559.0,Clean,Neutral,Very unsatisfied
2462,Wednesday,AMERICAN,DEST_1462,Europe,    Large,Gates 50-59,2018-12-31,585.9,Somewhat clean,Somewhat safe,Somewhat satisfied
2463,Tuesday,JETBLUE,DEST_1463,Europe,Large     ,Gates 1-12,2018-12-31,213.7,Average,Somewhat unsafe,Somewhat unsatisfied
2464,Thursday,DELTA,DEST_1464,Australia/New Zealand,Hub     ,Gates 70-90,2018-12-31,513.0,Average,Very unsafe,Very satisfied
2465,Monday,UNITED INTL,DEST_1465,Central/South America,Medium     ,Gates 70-90,2018-12-31,478.1,Average,Neutral,Somewhat unsatisfied
2466,Sunday,JETBLUE,DEST_1466,East US,Hub     ,Gates 20-39,2018-12-31,482.7,Clean,Neutral,Very unsatisfied
2467,Wednesday,JETBLUE,DEST_1467,Canada/Mexico,Small     ,Gates 70-90,2018-12-31,63.4,Clean,Very unsafe,Somewhat satisfied
2468,Wednesday,UNITED INTL,DEST_1468,Asia,Hub,Gates 50-59,2018-12-31,66.1,Somewhat dirty,Somewhat unsafe,Somewhat unsatisfied
